tekst,dimensioon,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
www_tooelu_ee.ela_624263.txt,abs,1,1,1,0.5,1,0,1,0,0,0.5
,info,2,2,3,2,1,0.5,0,3,0.5,1
,aeg,0,0,0,0,0,0.5,2,0,0,2
,afek,0,0,0.5,0,0,0.5,1,0.5,1,1
,form,2,2,0,1,2,1,2,0,0,0
,inter,0,0.5,0,0,0,0,1,0,0.5,0
,spont,1,0.5,0.5,0.5,0,0,0,0,0,0
,imp,3,3,3,3,3,2,1,2,0.5,3
,arg,3,0.5,3,0.5,1,2,0.5,2,0.5,2
,inst,2,1,3,2,2,2,3,0,2,2
,keer,0,1,0,0,0,0,0,0,0.5,0
,subj,0,0,0,1,0,1,1,0.5,1,1
www_easl_ee.ela_201171.txt,abs,0,0,0,0,0,0,0,0,0,2
,info,2,0,3,3,1,2,1,1,2,3
,aeg,0,1,0.5,1,0.5,2,0.5,1,1,0.5
,afek,0,0,0,1,0,0.5,0.5,0.5,1,0.5
,form,1,2,0,0,0,1,1,2,1,0
,inter,1,1,0,1,0,0,1,0,1,0.5
,spont,0,0,1,0,0,0,0,0,0,0
,imp,3,0,0.5,0,0,2,0,2,0.5,1
,arg,1,0,0,0,0,0.5,0.5,0,0.5,0
,inst,0.5,0,1,0.5,0.5,0,0,0,0.5,0
,keer,0,0,1,0,1,0,1,0,0,0
,subj,0,0,0,0,0,0,0,0.5,0,0
www_autoleht_ee.ela_469280.txt,abs,0.5,0,0,0,0,1,0.5,0,0,2
,info,3,2,3,2,3,2,3,3,3,3
,aeg,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0.5
,afek,0,0,0,0,1,0,0,0.5,0.5,0
,form,0,2,1,0,0,1,2,0,0.5,0
,inter,0,0.5,0,0,0,0,0,0,0.5,0
,spont,0.5,0,0,0,0,0,0,1,0,1
,imp,3,3,3,2,3,3,2,2,1,3
,arg,0,0,0,0,0,2,0.5,0,0,0
,inst,0,0,0,0,1,0,0,0,0.5,0
,keer,1,2,1,2,2,1,2,2,0.5,1
,subj,1,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0
www_syndikaat_ee.ela_469373.txt,abs,0.5,0,0,0,3,0,2,0,0,0.5
,info,1,0.5,0.5,2,1,0.5,1,1,1,1
,aeg,1,2,2,2,0,1,3,2,2,2
,afek,2,1,1,3,1,1,1,1,1,3
,form,0,0,0,0,0,0,0,0,0,0
,inter,0.5,1,0,0,0,0.5,1,1,3,0.5
,spont,0,0,2,0,1,3,2,0,2,1
,imp,0,0,0,0.5,0,0,0,0.5,0,0.5
,arg,0,0,0,2,0.5,0,0,0,0,0
,inst,0,0,1,0,0,0.5,0.5,0.5,0.5,1
,keer,0,0.5,0,0.5,0.5,0,0,0,0,0
,subj,3,2,3,2,2,2,2,2,3,3
ylle_mrt_ee.ela_101705.txt,abs,2,0.5,1,2,2,0,2,0,0,1
,info,0.5,1,1,0,1,1,0,2,1,0
,aeg,1,1,1,2,0.5,1,1,0,2,3
,afek,3,2,3,3,3,2,3,2,2,3
,form,0,0,0,0,0,0.5,0.5,0.5,0,0
,inter,0,1,2,0,0,0,2,0,1,0
,spont,0,1,3,1,2,3,3,1,3,2
,imp,1,1,1,0.5,0.5,0,1,0.5,0.5,1
,arg,3,2,1,2,2,0.5,2,0.5,3,1
,inst,1,0.5,1,1,0.5,0.5,0,0,0.5,0
,keer,0,1,1,0,0,0.5,1,0,0.5,1
,subj,3,3,3,3,3,3,3,2,3,3
rahvahaal_delfi_ee.ela_499379.txt,abs,0,0,1,0,1,0,0.5,1,1,0
,info,1,2,2,2,1,0,1,0.5,0,1
,aeg,0,0,0,0,0,0,0,0,0.5,1
,afek,0,0.5,2,3,2,1,0.5,0,0.5,0.5
,form,0,0,0,0,0,0,0,0,0,0
,inter,2,2,0,2,0,1,3,0,0.5,0
,spont,2,2,0,2,3,0.5,1,0,0.5,0
,imp,3,0,1,0.5,2,0,1,0,1,0.5
,arg,0,0,1,1,2,0,0,2,1,0
,inst,3,2,3,3,2,2,3,2,3,1
,keer,0,0,0,0,1,0,0,0,0,0
,subj,1,1,1,1,1,3,0.5,0.5,1,2
www_admiralmarkets_ee.ela_456804.txt,abs,2,1,1,1,1,2,0.5,0.5,0.5,3
,info,3,2,3,2,1,2,2,2,1,3
,aeg,0,2,1,2,0.5,0,1,1,0,1
,afek,1,0.5,0.5,1,0.5,0,0,2,3,1
,form,0,2,2,0,1,1,1,0,0,1
,inter,1,1,0,1,1,0,1,0,0.5,0
,spont,0,0,0,0,0,1,1,1,0.5,1
,imp,0,0,2,0,0.5,2,1,3,1,3
,arg,0,1,3,1,3,2,2,0,0,1
,inst,0,0,0,0,1,2,0,0,0.5,0
,keer,1,3,2,3,0.5,1,0,1,0.5,1
