tekst,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
www_mod_gov_ee.ela_178680.txt,1,0.5,1,3,1,0.5,1,2,2,3
www_hambaarst_ee.ela_475731.txt,3,2,3,1,3,3,1,0,0.5,3
arvamusaed_ee.ela_6007.txt,1,1,1,0.5,1,0,2,3,2,0
www_eestigiid_ee.ela_530847.txt,3,3,3,2,3,2,3,3,2,3
www_syndikaat_ee.ela_469373.txt,0,0,0,0.5,0,0,0,0.5,0,0.5
www_mesindus_ee.ela_33384.txt,0,0,0,2,0,1,0,0,2,1
www_soudeliit_ee.ela_547578.txt,3,2,2,1,3,1,2,2,0,0.5
www_ekspress_ee.ela_495829.txt,1,0.5,0.5,0,1,0,1,0.5,0.5,3
forte_delfi_ee.ela_222312.txt,1,0.5,1,0.5,0.5,2,0.5,1,3,2
www_eestisport_ee.ela_196071.txt,3,2,3,2,2,3,0.5,3,2,2
www_vorumaateataja_ee.ela_241120.txt,2,0,0,2,1,0,0,2,0,2
kalah_zzz_ee.ela_73709.txt,0.5,0,1,0.5,0,0,3,2,2,1
reform_ee.ela_24983.txt,1,1,1,2,1,0.5,3,0.5,2,1
herba_folklore_ee.ela_93408.txt,3,3,3,0.5,3,3,1,2,3,3
www_eramets_ee.ela_479405.txt,3,3,3,2,3,3,3,3,3,3
www_ilm_err_ee.ela_196894.txt,1,1,1,0.5,1,0.5,1,0.5,3,1
et_wikipedia_org.ela_467359.txt,3,0.5,1,0.5,0.5,0,0.5,1,0.5,0
www_snap_ee.ela_623342.txt,1,2,3,2,2,3,0.5,0.5,3,3
rahvahaal_delfi_ee.ela_499379.txt,3,0,1,0.5,2,0,1,0,1,0.5
blog_maaleht_ee.ela_73268.txt,1,0,0,2,0.5,0,0,0,0,0
static_inimene_ee.ela_194968.txt,3,3,3,2,3,3,2,2,3,3
www_linnaleht_ee.ela_420357.txt,1,1,1,0.5,1,0,0,0,0,0
ylle_mrt_ee.ela_101705.txt,1,1,1,0.5,0.5,0,1,0.5,0.5,1
www_bsd_ee.ela_638246.txt,3,3,3,2,2,1,2,1,1,1
forte_delfi_ee.ela_88079.txt,1,1,1,2,2,2,1,2,2,2
www_emta_ee.ela_522725.txt,3,3,3,0.5,0.5,3,2,2,3,3
www_advent_ee.ela_658698.txt,1,1,1,0,0.5,0,0,0,0.5,0.5
www_post_ee.ela_149870.txt,3,3,3,1,2,0,0,2,3,2
kalah_zzz_ee.ela_52237.txt,3,2,1,0.5,2,3,3,2,3,3
www_meiekirik_ee.ela_286284.txt,1,0.5,0,2,0.5,0.5,1,0,0.5,1
www_eestikirik_ee.ela_530609.txt,0,0,0,2,2,0,0,0,0,2
www_mulje_ee.ela_177932.txt,0,0,0,0.5,0.5,0.5,0,0,0,1
www_ajakiri_ut_ee.ela_429007.txt,1,2,0.5,0.5,0.5,1,2,2,1,1
www_puuinfo_ee.ela_279876.txt,3,0.5,2,2,2,2,0,0.5,3,3
www_lapsemure_ee.ela_140896.txt,0,0,0,1,1,0.5,1,0.5,1,1
www_tuuleenergia_ee.ela_40373.txt,1,0,0,3,3,1,0,0.5,1,1
www_vnl_ee.ela_670256.txt,3,0,1,2,0.5,0,2,2,0.5,0
et_wikipedia_org.ela_219301.txt,1,0,3,0.5,2,2,3,2,2,3
