text_url,hindaja1,hindaja2,hindaja3,hindaja4,hindaja5,len(skoor>=0),averageif >=0,hindaja6,hindaja7,hindaja8,hindaja9,hindaja10,len(skoor>=0)_2,averageif >=0_2
arhiiv_koolielu_ee.ela_481254.txt,-1.00,-1.00,3.00,-1.00,2.00,2.00,##,0.00,3.00,3.00,2.00,2.00,5.00,2.00
arvamus_postimees_ee.ela_5946.txt,-1.00,0.00,0.00,2.00,0.00,4.00,0.50,-1.00,2.00,-1.00,-1.00,-1.00,1.00,##
arvamusaed_ee.ela_274676.txt,-1.00,0.00,0.00,-1.00,-1.00,2.00,##,-1.00,0.00,0.00,-1.00,2.00,3.00,0.67
arvamusaed_ee.ela_6007.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,2.00,0.00,3.00,2.00,5.00,1.40
bhr_balanss_ee.ela_565106.txt,-1.00,0.00,0.00,-1.00,2.00,3.00,0.67,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
blablabla_ee.ela_504829.txt,0.00,0.00,0.00,2.00,-1.00,4.00,0.50,0.00,-1.00,0.00,-1.00,-1.00,2.00,##
blog_maaleht_ee.ela_73268.txt,-1.00,0.00,-1.00,2.00,-1.00,2.00,##,0.00,0.00,0.00,0.00,0.00,5.00,0.00
ekspress_online_2020.txt,-1.00,-1.00,-1.00,1.00,-1.00,1.00,##,1.00,1.00,0.00,1.00,0.00,5.00,0.60
eok_ee.ela_435890.txt,3.00,0.00,0.00,0.00,0.00,5.00,0.60,-1.00,2.00,-1.00,-1.00,-1.00,1.00,##
et_wikipedia_org.ela_191506.txt,-1.00,-1.00,-1.00,2.00,-1.00,1.00,##,3.00,-1.00,2.00,-1.00,0.00,3.00,1.67
et_wikipedia_org.ela_219301.txt,-1.00,0.00,3.00,-1.00,2.00,3.00,1.67,2.00,3.00,3.00,2.00,2.00,5.00,2.40
et_wikipedia_org.ela_467359.txt,3.00,-1.00,-1.00,-1.00,-1.00,1.00,##,0.00,-1.00,0.00,-1.00,-1.00,2.00,##
et_wikipedia_org.ela_519819.txt,-1.00,-1.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,-1.00,2.00,-1.00,3.00,2.00
et_wikipedia_org.ela_624820.txt,3.00,2.00,3.00,0.00,2.00,5.00,2.00,3.00,3.00,3.00,-1.00,3.00,4.00,3.00
forte_delfi_ee.ela_222312.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,2.00,-1.00,2.00,1.00,3.00,4.00,2.00
forte_delfi_ee.ela_88079.txt,-1.00,-1.00,-1.00,2.00,2.00,2.00,##,2.00,1.00,2.00,2.00,2.00,5.00,1.80
herba_folklore_ee.ela_93408.txt,3.00,3.00,3.00,-1.00,3.00,4.00,3.00,3.00,1.00,3.00,2.00,3.00,5.00,2.40
kaja_ekstreem_ee.ela_71641.txt,0.00,1.00,1.00,3.00,2.00,5.00,1.40,-1.00,0.00,-1.00,2.00,-1.00,2.00,##
kalah_zzz_ee.ela_52237.txt,3.00,2.00,1.00,-1.00,2.00,4.00,2.00,3.00,3.00,3.00,2.00,3.00,5.00,2.80
kalah_zzz_ee.ela_73709.txt,-1.00,0.00,1.00,-1.00,-1.00,2.00,##,0.00,3.00,-1.00,2.00,2.00,4.00,1.75
mesindus_ee.ela_210638.txt,-1.00,0.00,-1.00,-1.00,-1.00,1.00,##,0.00,0.00,-1.00,-1.00,-1.00,2.00,##
nami-nami_ee.ela_372868.txt,3.00,-1.00,-1.00,-1.00,3.00,2.00,##,-1.00,2.00,3.00,0.00,-1.00,3.00,1.67
no_spam_ee.ela_2227.txt,-1.00,2.00,2.00,2.00,2.00,4.00,2.00,1.00,-1.00,-1.00,-1.00,3.00,2.00,##
rahvahaal_delfi_ee.ela_135048.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
rahvahaal_delfi_ee.ela_258274.txt,0.00,0.00,0.00,3.00,2.00,5.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
rahvahaal_delfi_ee.ela_388979.txt,-1.00,0.00,-1.00,-1.00,-1.00,1.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
rahvahaal_delfi_ee.ela_499379.txt,3.00,0.00,1.00,-1.00,2.00,4.00,1.50,0.00,1.00,-1.00,0.00,1.00,4.00,0.50
reform_ee.ela_24983.txt,-1.00,-1.00,-1.00,2.00,-1.00,1.00,##,-1.00,3.00,-1.00,-1.00,2.00,2.00,##
reisiajakiri_gomaailm_ee.ela_530539.txt,2.00,0.00,0.00,-1.00,0.00,4.00,0.50,0.00,0.00,-1.00,0.00,-1.00,3.00,0.00
sport_autonet_ee.ela_515760.txt,3.00,1.00,-1.00,-1.00,-1.00,2.00,##,3.00,0.00,0.00,2.00,-1.00,4.00,1.25
static_inimene_ee.ela_194968.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,3.00,2.00,3.00,2.00,3.00,5.00,2.60
stiimul_ee.ela_330566.txt,-1.00,0.00,0.00,-1.00,-1.00,2.00,##,-1.00,-1.00,-1.00,2.00,-1.00,1.00,##
toompark_pri_ee.ela_458650.txt,-1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,-1.00,-1.00,3.00,0.67
