,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
noun,1.0,0.6469903791462631,0.3155215583750662,-0.7069440864169797,-0.12622767491595993,-0.1397000197748453,-0.15879800041084677,0.5119394484947715,0.11290361513067158,0.5041294286105599,-0.5051421619025213,0.39547957338055434,0.5171294852818362,-0.8240649962178628,0.613472534212814,0.37773563279325895,0.7947084271897005,0.6083936351932713,0.24644769818702134,-0.8554980218079001,-0.3062046323655483,0.26690547614568216,-0.6092328869044981,-0.3386283290144823,-0.3233118191751245,-0.6039195235789613,0.5545450361320857,-0.5705015052816771,-0.4418600841740579,-0.019747315593407505,-0.47313265231019946,-0.3606287614726716,0.004195351907015653,0.2165394173225593,-0.2866964871151654,0.4356031523951641,-0.06143230380692682,-0.09937643919500846,-0.5892576135968272,0.21281081374679137,-0.2824012043613889,0.46210050215943765,-0.010319638872967125,-0.26754474548195867,0.6842006428355909,0.31970538923244557,-0.2619380962938741,0.7128786346177806,0.32425248397057105,-0.19874264808346104,0.3000324868172191,0.29920431941470704,0.3032343914263139,0.4442226284706917,0.5426889559272929,0.12926101421973274,0.021203641546755997,-0.4216209175720202,-0.13857773881758934,-0.14420459093876375,0.05105819044725094,0.12689466251250023,0.4051968713647572,0.2657184647092845,-0.2577824152009788,-0.27885230479360495,0.33283672340802517,0.7996468268086744,0.19266374610945464,0.5178147644372045,0.5499067301043808,0.1013183376672639,0.4057219739767002,-0.054743349179655634,0.057832906420317645,-0.1397000197748453
adj,0.6469903791462631,1.0,0.33794017697167794,-0.27391738645347197,0.01682479933686758,-0.04547595000736834,-0.26634616637246045,0.11014822935547496,-0.07332249263902386,0.08077464541628966,-0.4184847861814705,0.6178754242979153,0.47726146239916206,-0.6295945654392048,0.25935431154490823,0.4523461317144273,0.7617149324947118,0.3377109634621913,0.44473176739590636,-0.6199557489590508,-0.24537500630830156,0.10016053758455966,-0.5357561843439563,-0.31254588481998224,-0.1255085103584133,-0.33968524037229214,0.587039219787631,-0.41052798412543673,-0.37083489152660704,0.262721525702924,-0.4156185771603825,-0.33000120432502156,0.03805084054650652,0.1539230975099737,-0.32162848080600276,0.6742536278401122,0.02692976093981935,0.06296871354468785,-0.4209772750570786,0.11884050754133949,-0.26172918224632963,0.3405459456860745,-0.27874710866637054,-0.17193677649558498,0.5954917268837244,-0.007703315318982709,-0.2864243208041137,0.3891076748441822,0.5718812122921437,-0.22943658546344262,0.23946697313453383,0.46942850344307807,0.41476255412362134,0.3524139335876513,0.14557290423312347,0.18853000703542683,0.19026124286918006,-0.21883592923454606,-0.23464631051354687,-0.1724493174704813,0.14746417578131032,0.003732522078281015,0.5329531519786022,0.2074155932795345,-0.11123176610523432,-0.2685330418067897,0.3842457495543054,0.4621706718822312,0.36856214884249744,0.06002457937116533,0.79002260335132,-0.23209765895665224,0.3562852225838624,-0.13650010732074755,0.034036107503163715,-0.04547595000736834
propn,0.3155215583750662,0.33794017697167794,1.0,-0.36983999464094275,0.07200001245165843,-0.20280595858675332,-0.21765436519401946,0.30468554982103235,-0.060608635614776495,0.12775332279432866,-0.4633263647272448,0.22803729182238952,0.3055323142003585,-0.29275851012392407,0.39444389618562625,0.3156751303745026,0.5743589641710688,0.409241182770312,0.34226513163597005,-0.21633164411613912,-0.2557280493969978,0.033889279550431306,-0.04999518280458615,-0.43176906560652767,0.03499767850211342,-0.15095706927461472,0.10846414600750473,-0.06788865749966255,-0.3919643548228275,0.19376080287885714,-0.25104012353757943,-0.17468321492349384,-0.23888863058260598,-0.1514083597751061,-0.12773019286383733,0.3668020006133804,-0.3423951008270306,0.31825930766453214,-0.23630027784060112,-0.1796961289982719,-0.17037254198405222,0.09963786438453137,-0.470867821853522,-0.1666908611791944,0.7899267279982762,-0.23482275807856634,-0.04322044134996408,0.18543456896247712,0.1643661280585925,0.13218358862205742,0.14728953478434664,-0.060263155260286735,0.6289214852740341,0.07807292353468838,0.20947699938053832,0.19183901086957805,0.1325445267974047,0.20696926082444944,-0.5294753862879319,-0.05968005858868159,0.3069960421810405,0.17911236150693927,0.08335637185962745,0.05702060467672111,-0.3069594668287172,-0.18562886694788772,0.3256476948823321,0.6853920089804679,0.3330130219469463,0.13282162910804357,0.47557840307819627,-0.20581974663392952,0.23751231072980783,-0.41984389815919054,-0.046544004173184675,-0.20280595858675332
adv,-0.7069440864169797,-0.27391738645347197,-0.36983999464094275,1.0,-0.00360919522510685,0.21034038772748795,-0.04223584094309713,-0.38810361587806746,-0.08724441550967109,-0.36296145941738833,0.2466464904326854,-0.08501584528223324,-0.29241595971639417,0.35645150273463966,-0.43138722507241156,-0.007611214003801893,-0.5874237119595705,-0.6093840138056229,0.12571144907067922,0.4044073630710244,0.3032911270867879,-0.1802753283914665,0.23640100991121243,0.2640223232348555,0.06591443360157803,0.2248425946662598,-0.4568060175877902,0.23274748781488908,0.20579405739622603,-0.07037797441161514,0.454534807698885,0.20268507369207056,0.17932208175149814,-0.27180423997190517,-0.0684310211590141,-0.26127072927689104,0.015781019431510564,-0.022353632993696873,0.2562930225824893,-0.1619400185569459,-0.03593109656846661,-0.316148167454175,0.2575499802209047,0.3357127362947309,-0.5974362600288282,-0.3511578968306,-0.010481277541572737,-0.5861221488075455,-0.07330453632771163,-0.20139206891301514,-0.11108859863597881,-0.2501560010473765,-0.2797777136504933,-0.20961128233835466,-0.3375382966804441,-0.022252102846120433,-0.05642885516326071,0.015981595035519196,0.30675088154980584,0.1530103618415315,-0.243838242874396,-0.06722057920660254,-0.0717076871053266,-0.3912298278598982,0.20742733049562476,0.25417775376974533,-0.3877647725281079,-0.7024282322549253,0.0566978411407386,-0.4065763927866916,-0.18735080786650482,-0.31476265586165303,-0.2938200586219035,0.31007024869506605,0.04177555693151721,0.21034038772748795
intj,-0.12622767491595993,0.01682479933686758,0.07200001245165843,-0.00360919522510685,1.0,-0.029729987218720565,-0.2247009456062741,-0.00798009102391552,-0.21843088270777922,0.13905910765111487,0.32190815090334585,0.30088443198928416,0.3838496925720745,0.19758178504194385,0.0973573380428023,-0.10716596776387227,-0.105774890115877,-0.052554894194704875,0.0030945570803802853,0.44246464145937375,0.08360053376193143,-0.10307231067787113,0.38378277777207037,0.2973240133775047,0.3279751782569594,0.1429374289079471,0.06115337719275013,0.2575937366547115,0.3132472518791871,0.1382207011449653,-0.13556655058528802,0.47642260081018556,-0.07778518384977187,0.1546154945407158,-0.13240829921398914,0.11289636460983556,-0.04649031096181566,0.2619961733703085,0.18311676844137342,-0.07499833321845509,0.6539461807497793,0.37217494042606464,-0.09093349335168346,-0.0281871150818479,-0.14265096935052213,0.006731132931050778,-0.06025572996979595,0.06807414981008748,0.3228762407475213,-0.26204643788246834,0.20261686405912643,0.1996666582161016,0.08135529647929213,0.25449575378572553,0.09342177871175845,0.23999925605327238,0.2738114619669788,0.2455712107426369,-0.03729093444987523,-0.07779040265888114,0.03566496248019237,0.0763461626161386,0.14620815914749882,0.22475645136707523,-0.17504773009645325,0.1856732986338964,0.05258655444087285,-0.057490680682666905,0.27589139575540333,0.13091525687073263,-0.10280159260471704,-0.1714973356239987,0.5093662432656778,-0.01616761621826892,-0.09226518987023287,-0.029729987218720565
cconj,-0.1397000197748453,-0.04547595000736834,-0.20280595858675332,0.21034038772748795,-0.029729987218720565,1.0,-0.38677600332204365,-0.3396891879308923,0.21614060999695817,-0.4632488362207911,0.30211520002276016,-0.421169030921738,-0.2687423405930363,-0.0020553813230093387,-0.06087039565182901,-0.13793119396493203,-0.13246707620504217,-0.5230595834344551,-0.08233132599323571,0.04825125740342928,-0.05871609486592632,0.13418164084226536,0.11837876820388615,0.15918512609209665,-0.24220140541959104,-0.09313423118660125,-0.31183793491929096,0.17060018461039186,0.13106258238178478,-0.12566240796824837,-0.22983006439572432,0.2738616789945855,-0.06636452372784002,-0.017178110877055452,-0.2285289598433036,-0.3226637239615185,0.07970696146947508,-0.2501359304468192,0.105829222551103,-0.3365929143722392,-0.05257842592098536,-0.10713851808517819,0.11671696459651555,0.29962940423550777,-0.20799260902902203,0.10028517560363952,-0.289116356295562,-0.06966681896008352,-0.21261646433342893,-0.17133803032999065,-0.12687355765244793,-0.30535030601889185,-0.05647059736371482,-0.03549878569103555,-0.4393836056716724,-0.22938509305987248,0.07715289215978656,-0.2101307501832808,0.26499432084271457,-0.43037887235118294,-0.2279938849320431,0.006973141512792671,-0.32575468809554886,-0.13560850836225222,0.875453691423741,0.05298510534960765,-0.4531959278801129,-0.24347268254330914,-0.11920647622463365,-0.465109967064638,0.0029894013360136588,-0.2763785183935989,-0.2625322120237775,0.2459433426622573,0.6614959530501251,1.0
sconj,-0.15879800041084677,-0.26634616637246045,-0.21765436519401946,-0.04223584094309713,-0.2247009456062741,-0.38677600332204365,1.0,-0.14792287914504035,-0.0909561102696921,0.05164226867873817,-0.12597660340285982,-0.03570902197709466,-0.014868856964424063,0.3289630925443972,-0.220029958110494,0.019343769493869914,-0.1739462373256525,0.31744635890852163,-0.040319781002722634,0.1550596216987733,0.2887862463150804,-0.13472397422349228,0.0024144267728635517,-0.16931609448752824,0.3536403875890462,0.20619578675825942,-0.023631780064002992,-0.08169871515353166,0.1009080541028994,0.08054007066836762,0.1179104659836264,-0.12032406432731445,0.2018059416325116,0.07530544998509714,0.40072660508753133,-0.1823820593802502,0.2312756153590168,-0.18091494753004606,0.10876784680002438,0.510274631067372,-0.04056759302531456,-0.04763809857587896,0.10297628720821718,-0.12798099389892947,-0.18922780735320285,0.2834276591339019,0.5134419238958314,-0.35074890834416145,-0.1468811906665049,0.20709085523677714,-0.012950526949382164,0.19752390657096405,-0.19247238807719425,-0.010218434031465868,0.1154054954791846,0.057458984284725394,-0.014756088764958064,0.38044314856824196,-0.13404258680783188,0.16343123945915525,0.10785322471682837,0.01788869082420841,-0.07785409643450605,0.29764619563523365,-0.13096912866438795,0.08986238404863661,0.02994890310489722,-0.15664527932490982,-0.12642909846014885,0.10350143369572944,-0.19288177411022106,0.6462617386124608,-0.07038808973816472,-0.3001765431102178,-0.5824525201578565,-0.38677600332204365
adp,0.5119394484947715,0.11014822935547496,0.30468554982103235,-0.38810361587806746,-0.00798009102391552,-0.3396891879308923,-0.14792287914504035,1.0,-0.0964916348800119,0.7890202076007709,-0.4450231025146736,0.23806886868754526,0.28011822891657884,-0.4030821699107849,0.5828829851270992,0.22547268342373206,0.2465137460078185,0.5136662039366635,0.13409489096587202,-0.3470189549831232,-0.29492262637419997,0.12262167011003614,-0.12079392883976164,-0.12075084386387537,-0.12453934212080858,-0.5326255064600617,0.21406875967031988,0.027088239000892876,-0.2863471782335214,-0.4761440400968715,-0.23386872709047307,-0.2445848998350853,-0.08753042452062697,-0.10915709276326369,-0.27992566011216463,0.2288481673518856,-0.37676316984681546,0.1111297260240375,-0.5849881975416236,0.2155293492070487,-0.1728281818269747,0.14564309736893472,-0.12870241628736417,-0.6442865436119848,0.5055950371706538,0.2708992005871505,-0.30969478826244784,0.45441978099000285,0.11531853799062881,0.014738057568180855,0.42237886594730195,0.06343008231570757,0.028749394121943234,0.14364153811123817,0.6480364308431538,0.06253521048732875,-0.17576779636380557,-0.42971912168430243,-0.3285324679385547,-0.020160971912948383,0.030727024925514424,0.21289676438153135,0.12638046823502916,0.079389816482729,-0.41262133754918146,-0.3343211045447009,0.35943382324775064,0.585347465508154,0.057806790766111574,0.8357200431395618,0.21580122377280012,0.025297804385050974,0.21596674949127742,-0.2799391668865945,-0.03323367042922976,-0.3396891879308923
det,0.11290361513067158,-0.07332249263902386,-0.060608635614776495,-0.08724441550967109,-0.21843088270777922,0.21614060999695817,-0.0909561102696921,-0.0964916348800119,1.0,-0.2775500834993333,-0.14752374489181833,-0.1052979696007904,0.08815125779794666,-0.018599252438375114,-0.38178990116177536,0.2409912988462298,0.02059311517003152,-0.16122460931598923,0.1492298389982693,-0.2691402731638617,0.23588957908823766,0.6464037876498823,-0.03430295517057209,-0.1918443277499475,-0.20454356151997796,0.0743723856362597,0.0139911669465245,-0.07905323792263773,-0.2276825395029781,0.21152932882065834,0.12731924124059643,-0.08555314321828333,-0.09935569230258258,0.24849641778761394,-0.00866171226349569,-0.010510911778973071,0.03976654431948814,0.03942004375175713,0.17639844758200093,-0.1524073457773789,-0.12532872829017064,0.2647161019023874,0.09845517288090913,0.38576727191709775,-0.012094986054660837,-0.1034290968693215,-0.022465498069480994,0.20528204571398517,0.049217731972270945,0.12300787095421686,0.11130917051281539,-0.12593159853263394,0.27580951646681917,0.20503799167356793,-0.20292548711407693,0.02122212697483576,0.1665280303754357,-0.11486046250858074,0.27988416975721103,0.09892422634063755,-0.00789458959911601,0.11738845717232235,-0.1464227219710941,-0.04923175097558204,0.07914275622152218,0.44388792207324085,0.034939175913406534,-0.0802280290447867,0.006057650997781909,-0.2822471526369418,-0.08150518161767498,0.1503838644348972,0.05648042963758656,0.27453314779569715,0.16978774182311465,0.21614060999695817
num,0.5041294286105599,0.08077464541628966,0.12775332279432866,-0.36296145941738833,0.13905910765111487,-0.4632488362207911,0.05164226867873817,0.7890202076007709,-0.2775500834993333,1.0,-0.31694122711158734,0.27688308652994165,0.3097783179151936,-0.40917988978666014,0.6049589949999227,0.13925207480875074,0.2249280003238533,0.6145837037009539,0.01762259706582952,-0.2980696594120305,-0.24054912518826732,-0.11519152684120895,-0.19586737414899913,-0.03513652371179606,-0.0695027914679123,-0.5654607994852254,0.29149103295692574,-0.1925590634858709,-0.09396750030279503,-0.37776019407184475,-0.3151609712139332,-0.12383522212398798,0.050919179017723255,-0.08937145923013705,-0.2970361262094723,0.17609505487021637,-0.3081129508652903,0.05488031182316589,-0.5509831409456883,0.22739157883555233,0.03082513178380785,0.20107252266991113,-0.013086376880839723,-0.6374779753380633,0.32078765811398524,0.3702362976792802,-0.18789116128990002,0.31525661512536407,0.18922933653906016,-0.17453248918521133,0.42090458985440693,0.18219556046685587,0.027444450802934464,0.1717062147995359,0.7253560539261659,0.08611553190665074,-0.289371122162422,-0.3653963441112389,-0.267330647267808,-0.029578871472602044,-0.01965592608836791,0.17906252132933312,0.2722776934064438,0.08095217343582313,-0.5267249616423757,-0.23221500860494523,0.32985364965294717,0.5365218529353878,0.0035089725290378014,0.9725733454090878,0.04862756499442565,0.029965367976128598,0.29814360285971836,-0.22693885671302721,-0.21460430467639038,-0.4632488362207911
