,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
noun,1.0,0.24,0.01,-0.56,0.23,0.18,-0.21,0.14,-0.13,-0.01,-0.27,0.23,0.36,-0.52,0.25,0.23,0.67,0.16,0.21,-0.63,-0.23,-0.04,-0.35,0.05,-0.34,-0.3,0.46,-0.18,-0.02,-0.06,-0.43,-0.2,-0.11,0.1,-0.19,0.42,0.15,-0.14,-0.32,-0.01,0.02,0.28,-0.22,-0.14,0.57,0.16,-0.08,0.19,0.12,0.26,0.28,0.22,0.17,0.24,0.27,0.06,0.13,-0.1,-0.25,-0.11,0.06,0.12,0.16,0.24,0.1,-0.32,0.17,0.65,0.2,0.12,0.2,-0.11,0.36,-0.3,0.27,0.18
adj,0.24,1.0,-0.06,-0.25,0.34,0.12,-0.04,-0.16,-0.12,-0.02,-0.09,0.02,0.38,-0.25,0.12,0.27,0.39,0.35,0.21,-0.26,-0.18,-0.02,-0.14,0.1,-0.16,-0.13,0.4,-0.13,-0.01,-0.17,-0.1,-0.35,0.2,0.18,0.03,0.53,0.21,-0.13,-0.38,0.2,0.01,0.36,-0.05,-0.0,-0.02,0.29,0.09,0.24,0.28,0.19,0.19,0.22,0.32,0.22,0.29,0.27,0.13,-0.26,0.06,0.08,0.19,0.21,0.29,0.02,0.03,0.02,0.18,0.02,-0.07,0.12,0.76,0.11,0.38,0.04,0.2,0.12
propn,0.01,-0.06,1.0,-0.39,0.26,0.02,-0.39,-0.12,-0.27,0.22,-0.21,0.06,0.38,-0.24,0.49,0.2,0.36,0.18,0.33,-0.21,-0.31,0.13,-0.19,0.04,0.09,-0.42,0.09,-0.24,-0.18,0.19,-0.41,0.29,-0.08,-0.14,-0.07,-0.13,-0.45,0.22,-0.06,-0.02,-0.15,0.45,-0.25,0.27,0.34,-0.12,0.15,0.3,0.03,0.22,0.37,0.25,0.13,0.21,0.23,0.18,0.1,0.25,-0.13,-0.36,0.27,0.1,0.15,-0.1,-0.03,0.1,0.42,0.45,0.66,0.25,0.1,-0.41,0.38,-0.23,-0.03,0.01
adv,-0.56,-0.25,-0.39,1.0,-0.21,-0.15,0.33,-0.06,0.03,-0.26,0.06,-0.16,-0.34,0.3,-0.23,0.02,-0.45,-0.36,-0.04,0.34,0.18,-0.1,0.19,0.04,0.09,0.34,-0.49,0.24,0.07,0.01,0.39,-0.03,0.07,0.05,0.11,-0.3,0.16,-0.15,0.21,0.0,0.03,-0.28,0.2,-0.15,-0.45,-0.08,0.1,-0.27,-0.16,-0.34,-0.36,-0.31,-0.14,-0.24,-0.26,-0.12,-0.0,0.01,0.14,0.2,-0.25,-0.09,-0.12,-0.09,-0.09,0.13,-0.42,-0.45,-0.38,-0.3,-0.23,0.34,-0.34,0.17,-0.29,-0.15
intj,0.23,0.34,0.26,-0.21,1.0,0.3,0.07,0.02,-0.06,-0.01,-0.16,0.34,0.84,-0.15,0.16,0.39,0.34,0.23,0.51,-0.19,-0.36,0.22,0.0,0.62,-0.01,-0.07,0.16,-0.05,0.09,0.0,-0.06,-0.04,0.14,0.38,0.28,0.16,0.1,-0.09,-0.13,0.36,0.1,0.75,0.02,0.05,0.19,0.08,0.35,0.25,0.21,0.27,0.34,0.41,0.12,0.5,0.31,0.49,0.27,0.18,0.05,0.06,0.35,0.31,0.58,-0.06,0.27,0.1,0.27,0.27,0.35,0.07,0.34,0.13,0.84,0.04,0.15,0.3
cconj,0.18,0.12,0.02,-0.15,0.3,1.0,-0.17,-0.12,-0.22,-0.13,-0.07,0.08,0.29,-0.22,0.06,-0.11,0.18,-0.1,0.09,-0.19,-0.15,-0.16,-0.11,0.14,-0.18,-0.02,0.1,-0.08,0.21,0.08,-0.18,0.09,0.13,0.19,0.12,-0.04,0.2,-0.19,-0.07,-0.02,0.22,0.25,-0.14,-0.1,0.09,0.03,0.07,0.06,-0.04,0.05,0.08,0.09,-0.01,0.23,0.08,0.15,0.07,-0.11,0.0,-0.26,0.07,0.25,0.18,0.09,0.95,0.12,-0.15,0.04,0.04,-0.1,0.01,-0.01,0.29,0.01,0.62,1.0
sconj,-0.21,-0.04,-0.39,0.33,0.07,-0.17,1.0,0.03,0.27,-0.35,-0.11,-0.12,-0.06,0.29,-0.28,0.03,-0.16,0.04,-0.07,0.28,0.32,0.17,0.28,0.16,0.03,0.36,-0.11,0.17,0.1,-0.09,0.26,-0.17,0.14,0.12,0.22,0.02,0.26,-0.09,0.18,0.11,0.08,-0.14,0.42,-0.23,-0.23,0.25,0.3,-0.17,-0.21,-0.15,-0.12,-0.1,0.0,-0.13,-0.17,-0.0,0.04,0.12,0.06,0.35,-0.17,0.02,-0.03,0.05,0.03,0.06,-0.16,-0.26,-0.14,-0.33,-0.06,0.64,-0.06,0.09,-0.32,-0.17
adp,0.14,-0.16,-0.12,-0.06,0.02,-0.12,0.03,1.0,0.02,0.0,-0.19,0.27,0.1,0.03,-0.17,0.08,-0.01,0.08,0.0,0.01,-0.03,0.03,0.16,-0.12,0.08,0.0,-0.04,-0.0,-0.07,0.13,0.06,-0.06,-0.08,0.13,0.04,0.02,-0.09,0.07,0.09,-0.18,-0.05,0.03,0.03,-0.07,0.27,-0.26,0.06,-0.07,0.05,0.14,-0.07,0.08,-0.12,-0.04,0.07,0.01,-0.0,0.17,-0.13,0.06,-0.07,0.27,0.01,-0.17,-0.18,-0.23,0.25,0.1,-0.06,0.05,-0.1,0.12,0.1,-0.06,-0.09,-0.12
det,-0.13,-0.12,-0.27,0.03,-0.06,-0.22,0.27,0.02,1.0,-0.24,0.06,-0.06,-0.09,0.35,-0.28,0.12,-0.17,-0.02,-0.02,0.35,0.17,0.64,0.35,-0.08,0.13,0.17,0.09,0.35,-0.11,-0.1,0.27,-0.01,-0.08,-0.11,-0.01,0.07,-0.04,0.2,0.3,0.05,-0.11,-0.16,0.2,-0.0,-0.07,0.16,-0.02,-0.11,-0.05,-0.01,-0.13,-0.05,0.01,-0.15,-0.14,-0.17,0.01,0.06,0.17,0.24,0.12,-0.18,0.04,0.09,-0.17,0.02,-0.12,-0.17,-0.11,-0.22,-0.16,0.02,-0.09,0.17,-0.23,-0.22
num,-0.01,-0.02,0.22,-0.26,-0.01,-0.13,-0.35,0.0,-0.24,1.0,0.1,0.23,0.1,-0.33,0.25,-0.07,-0.16,0.03,0.01,-0.27,-0.29,-0.12,-0.19,-0.0,-0.11,-0.3,-0.04,-0.15,-0.02,-0.03,-0.22,0.32,-0.26,-0.13,-0.11,-0.16,-0.27,0.06,-0.2,0.03,-0.01,0.13,-0.14,0.21,0.03,-0.28,-0.1,0.04,0.19,0.16,0.13,0.02,-0.01,0.13,0.1,0.08,0.08,-0.15,0.01,-0.22,-0.09,-0.06,0.04,-0.3,-0.19,-0.16,0.24,0.07,0.01,0.86,0.12,-0.3,0.1,-0.01,0.02,-0.13
