,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
noun,1.0,0.54,-0.21,-0.38,-0.57,-0.09,-0.0,0.1,0.29,0.32,-0.65,-0.14,-0.72,-0.04,0.54,0.72,0.07,0.41,-0.9,-0.44,0.26,-0.54,-0.39,-0.4,-0.39,0.45,-0.56,-0.19,0.11,0.04,-0.63,0.13,0.39,-0.05,0.2,-0.57,-0.07,-0.06,-0.42,0.19,-0.07,-0.21,0.08,0.28,0.46,0.14,-0.05,0.32,0.03,0.06,0.16,-0.15,-0.0,0.18,-0.04,-0.21,0.01,-0.31,-0.03,0.18,0.13,-0.22,0.24,-0.04,-0.06,-0.37,0.21,0.66,-0.12,0.33,0.61,0.2,-0.31,0.11,0.09,-0.07,-0.04,-0.14
adj,0.54,1.0,-0.17,0.07,-0.27,0.26,-0.31,0.02,-0.06,0.21,-0.37,0.22,-0.52,0.07,0.61,0.46,-0.44,0.61,-0.53,-0.28,-0.22,-0.42,-0.31,-0.31,-0.47,0.15,-0.45,-0.18,0.23,-0.09,-0.33,0.13,0.51,-0.35,0.25,-0.27,-0.18,0.02,-0.33,-0.0,-0.2,0.21,-0.01,0.34,0.14,-0.07,-0.23,0.05,0.45,-0.19,0.2,0.03,0.13,0.41,0.26,0.08,0.42,-0.44,0.25,0.08,0.32,0.06,0.61,-0.36,0.12,-0.31,-0.11,0.44,-0.11,0.35,0.86,-0.22,0.0,0.44,0.08,0.26,0.08,0.22
propn,-0.21,-0.17,1.0,-0.09,0.34,-0.09,-0.01,-0.21,0.25,-0.14,0.2,0.57,-0.15,-0.09,0.23,0.25,0.12,0.36,-0.02,0.17,0.38,-0.09,-0.12,0.03,0.37,0.27,0.28,-0.18,0.14,0.37,-0.16,0.07,-0.02,-0.07,0.69,0.34,-0.12,0.45,0.25,-0.22,0.02,0.59,-0.15,0.05,0.17,-0.31,-0.11,0.21,0.22,0.07,-0.06,0.15,0.56,0.28,0.4,0.49,0.15,0.09,-0.27,0.3,-0.2,0.56,0.05,0.26,-0.11,0.25,-0.0,0.08,0.79,-0.17,-0.12,-0.02,0.55,-0.25,0.3,-0.1,0.55,0.57
adv,-0.38,0.07,-0.09,1.0,0.2,0.35,-0.16,0.08,-0.35,-0.26,-0.04,0.33,0.16,0.27,0.15,-0.31,-0.37,0.2,0.22,0.3,-0.32,0.0,0.36,0.1,-0.19,-0.22,-0.02,-0.14,-0.04,0.0,0.1,0.06,-0.07,0.0,-0.03,0.2,0.1,-0.24,-0.06,0.04,-0.32,0.34,0.12,-0.17,-0.21,-0.15,0.09,-0.14,0.18,-0.55,0.19,0.05,0.26,0.03,0.27,0.2,0.08,-0.02,0.18,0.01,-0.09,0.26,0.13,-0.2,0.24,-0.13,-0.39,-0.32,0.19,-0.11,0.2,-0.4,0.29,0.21,0.12,0.34,0.04,0.34
intj,-0.57,-0.27,0.34,0.2,1.0,0.33,-0.09,-0.22,-0.26,-0.21,0.47,0.2,0.29,0.08,-0.43,-0.55,0.06,-0.15,0.61,-0.0,-0.11,0.42,0.24,0.02,0.16,-0.2,0.46,0.03,0.03,-0.05,0.62,-0.13,-0.04,-0.07,-0.12,1.0,-0.2,0.27,0.32,-0.31,0.09,0.12,-0.28,0.02,-0.31,-0.44,0.01,-0.14,0.17,-0.16,-0.38,-0.01,-0.0,-0.1,-0.04,0.09,0.21,0.32,-0.09,-0.12,-0.27,0.2,-0.09,-0.0,0.27,-0.04,-0.27,-0.32,0.23,-0.22,-0.37,-0.29,0.44,-0.16,0.37,0.33,0.05,0.21
cconj,-0.09,0.26,-0.09,0.35,0.33,1.0,-0.02,-0.03,0.06,-0.17,-0.03,0.21,-0.1,0.37,0.1,-0.35,-0.04,0.24,0.08,-0.4,0.04,0.2,0.09,-0.39,-0.48,0.13,0.32,-0.12,-0.19,-0.36,0.38,-0.33,0.07,-0.24,-0.26,0.33,-0.4,0.2,0.07,-0.36,-0.18,0.11,-0.15,0.03,-0.1,0.18,-0.28,-0.16,0.22,-0.13,-0.35,-0.11,-0.14,-0.02,-0.09,-0.06,0.16,-0.27,0.3,-0.32,-0.18,0.07,0.12,-0.25,0.94,-0.33,-0.42,-0.03,0.08,0.02,0.2,-0.43,0.22,0.04,0.55,1.0,-0.08,0.22
sconj,-0.0,-0.31,-0.01,-0.16,-0.09,-0.02,1.0,-0.16,0.19,-0.3,-0.13,-0.11,0.13,-0.3,-0.17,-0.04,0.7,-0.22,-0.02,0.06,0.21,-0.06,0.13,0.13,0.06,0.28,0.03,0.15,-0.04,-0.13,-0.15,0.1,-0.17,0.36,-0.16,-0.09,0.09,-0.08,0.23,-0.13,-0.14,-0.19,-0.18,-0.23,0.23,0.37,0.27,-0.08,-0.42,0.03,-0.13,0.33,-0.2,-0.11,-0.26,0.04,-0.07,0.01,-0.14,-0.19,-0.3,-0.05,-0.22,0.48,0.23,0.17,0.02,0.15,0.03,-0.32,-0.29,0.73,-0.18,-0.48,-0.1,-0.03,-0.14,-0.11
adp,0.1,0.02,-0.21,0.08,-0.22,-0.03,-0.16,1.0,0.31,-0.32,-0.57,0.1,0.33,-0.21,0.19,0.06,0.28,0.07,0.09,0.21,0.2,0.39,-0.35,0.35,0.27,-0.27,0.21,-0.63,0.38,0.2,-0.11,-0.14,0.2,0.38,-0.0,-0.22,-0.29,0.29,0.28,-0.14,-0.46,0.14,-0.16,0.02,0.45,-0.12,0.31,0.05,-0.18,0.17,-0.03,0.12,-0.03,-0.11,-0.01,-0.12,0.21,0.32,-0.12,0.1,-0.01,0.11,-0.0,-0.14,-0.08,0.32,0.53,0.23,-0.28,-0.23,0.13,-0.14,-0.04,-0.05,0.28,-0.02,-0.15,0.11
det,0.29,-0.06,0.25,-0.35,-0.26,0.06,0.19,0.31,1.0,-0.01,-0.47,0.18,-0.1,-0.14,0.24,0.35,0.38,0.23,-0.26,-0.18,0.83,0.24,-0.46,-0.15,-0.05,0.27,0.13,-0.25,-0.08,0.07,-0.22,-0.29,-0.1,0.17,0.15,-0.26,-0.34,0.32,-0.06,-0.03,-0.02,0.08,-0.07,0.4,0.42,0.18,0.04,0.42,-0.12,-0.02,-0.11,-0.24,0.11,0.26,0.03,0.01,0.17,-0.1,0.0,0.12,-0.19,0.11,0.04,0.1,0.1,0.21,0.06,0.39,0.25,0.06,-0.06,-0.03,0.04,-0.14,0.3,0.06,0.2,0.18
num,0.32,0.21,-0.14,-0.26,-0.21,-0.17,-0.3,-0.32,-0.01,1.0,-0.04,-0.02,-0.5,0.5,0.1,0.23,-0.33,0.13,-0.38,-0.22,-0.14,-0.33,-0.06,-0.4,-0.16,-0.13,-0.46,0.48,-0.2,0.08,-0.15,0.18,0.02,-0.07,-0.02,-0.21,0.35,-0.44,-0.63,0.45,0.71,-0.08,0.38,0.54,-0.37,0.0,-0.05,0.14,-0.01,-0.17,-0.1,-0.05,-0.2,0.08,0.11,-0.04,0.03,-0.31,0.19,0.21,-0.06,-0.22,0.32,-0.33,-0.25,-0.23,-0.45,0.02,0.16,0.92,0.1,-0.15,-0.08,0.55,0.02,-0.16,0.38,-0.02
