,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
noun,1.0,0.11,0.41,-0.65,0.37,-0.1,-0.22,0.22,-0.03,0.28,-0.68,0.81,-0.5,0.66,0.39,0.89,0.25,0.15,-0.7,-0.12,-0.21,-0.34,0.04,-0.25,-0.34,0.67,-0.16,-0.7,-0.14,-0.69,-0.31,-0.27,0.11,-0.61,0.6,0.37,-0.35,0.42,-0.65,-0.1,-0.5,0.41,-0.12,-0.49,0.93,0.25,-0.68,-0.21,-0.02,0.63,0.71,0.06,0.14,-0.0,0.23,0.71,0.11,-0.1,-0.34,-0.05,-0.55,0.26,-0.2,0.34,-0.18,-0.83,0.52,0.86,0.6,0.67,-0.14,-0.61,0.25,-0.38,0.16,-0.12,0.41,0.41
adj,0.11,1.0,0.15,-0.37,-0.06,0.11,-0.2,0.17,0.55,-0.54,-0.11,-0.37,-0.47,-0.58,0.56,0.41,0.07,0.41,-0.31,-0.09,-0.09,0.23,-0.6,-0.59,0.48,0.55,0.1,-0.16,0.2,-0.44,-0.34,-0.25,-0.06,-0.45,0.8,-0.06,-0.13,0.77,-0.02,-0.12,-0.33,0.02,-0.31,-0.31,0.24,0.35,-0.38,0.26,-0.18,0.41,-0.02,0.0,0.39,0.1,-0.17,-0.22,0.5,0.07,-0.25,-0.27,-0.03,0.29,0.1,0.34,-0.15,-0.25,0.44,-0.21,-0.08,-0.47,0.61,-0.36,-0.18,-0.17,-0.04,0.1,0.01,0.01
propn,0.41,0.15,1.0,-0.5,0.12,0.16,0.16,-0.41,-0.03,-0.02,-0.06,0.31,-0.23,0.42,-0.05,0.32,0.92,0.06,-0.37,0.75,0.06,0.03,-0.23,-0.24,-0.18,0.11,-0.38,-0.66,0.39,-0.74,0.1,-0.77,-0.42,-0.33,0.23,0.12,-0.13,0.08,-0.35,0.31,-0.65,0.25,-0.34,-0.11,0.59,0.25,-0.31,0.08,-0.16,-0.05,0.42,0.28,-0.18,0.47,0.37,0.28,0.74,0.28,-0.02,-0.53,-0.45,-0.02,-0.19,-0.13,0.33,-0.58,0.09,0.49,0.91,0.2,0.44,-0.75,0.1,-0.24,0.34,0.14,0.25,0.25
adv,-0.65,-0.37,-0.5,1.0,0.18,0.46,-0.03,0.3,-0.14,-0.38,0.66,-0.21,0.18,-0.35,-0.41,-0.75,-0.46,0.02,0.31,-0.32,0.32,0.24,0.18,0.05,-0.17,-0.54,0.55,0.27,-0.13,0.75,0.26,0.29,0.58,0.38,-0.62,0.18,0.29,-0.62,0.41,-0.28,0.21,0.2,0.25,0.25,-0.66,-0.47,0.26,0.37,0.31,-0.66,-0.6,-0.13,-0.03,0.08,0.28,-0.09,-0.3,-0.36,0.64,-0.16,0.51,0.38,0.38,-0.52,0.55,0.46,-0.75,-0.55,-0.48,-0.5,-0.22,0.85,0.37,0.72,0.1,0.46,0.2,0.2
intj,0.37,-0.06,0.12,0.18,1.0,0.61,0.02,0.51,0.07,-0.12,0.22,0.46,-0.76,0.24,0.16,0.17,0.23,0.6,-0.78,-0.26,0.25,-0.11,-0.35,-0.45,-0.12,-0.06,0.38,-0.67,0.37,-0.18,0.24,0.11,0.6,-0.38,0.1,1.0,0.52,-0.35,0.17,-0.34,-0.15,0.91,0.24,0.19,0.18,-0.13,-0.52,0.22,0.31,-0.23,-0.12,0.57,0.21,0.31,0.22,0.58,0.17,0.07,0.42,-0.53,-0.11,0.74,0.11,-0.28,0.56,-0.27,-0.3,0.14,0.31,-0.03,-0.46,0.15,0.76,0.53,0.61,0.62,0.91,0.91
cconj,-0.1,0.11,0.16,0.46,0.61,1.0,-0.41,0.29,0.48,-0.62,0.62,-0.0,-0.62,-0.12,-0.29,-0.33,0.19,0.16,-0.5,-0.07,0.78,0.25,-0.38,-0.59,-0.21,-0.11,0.14,-0.55,0.15,0.18,0.47,-0.3,0.35,-0.05,-0.11,0.61,0.3,-0.37,0.21,-0.42,-0.29,0.64,0.34,0.34,-0.14,-0.47,-0.34,0.89,0.39,-0.36,-0.61,0.1,-0.11,0.1,0.59,0.13,0.14,-0.23,0.76,-0.53,-0.27,0.69,0.05,-0.68,0.84,-0.11,-0.63,-0.21,0.04,-0.56,-0.06,0.13,0.6,0.81,0.77,1.0,0.64,0.64
sconj,-0.22,-0.2,0.16,-0.03,0.02,-0.41,1.0,-0.33,-0.46,0.19,0.06,-0.13,0.35,-0.08,0.33,-0.03,0.35,0.5,0.3,0.32,-0.46,-0.19,0.09,0.43,0.47,-0.42,0.17,0.26,0.6,-0.21,0.03,0.16,-0.13,0.12,-0.11,0.02,0.5,-0.19,0.47,0.58,0.2,0.01,-0.2,0.04,-0.17,0.61,0.45,-0.65,-0.23,-0.43,0.25,0.55,0.22,0.69,-0.56,-0.06,0.47,0.69,-0.12,-0.17,0.57,-0.27,0.22,0.32,-0.03,0.22,0.12,-0.18,0.29,0.06,-0.05,0.23,0.07,-0.26,-0.41,-0.41,0.0,0.0
adp,0.22,0.17,-0.41,0.3,0.51,0.29,-0.33,1.0,-0.06,-0.1,-0.23,0.17,-0.58,-0.14,0.23,0.21,-0.41,0.41,-0.52,-0.63,-0.16,-0.34,-0.25,-0.64,0.02,0.34,0.44,-0.3,-0.01,0.2,-0.52,0.33,0.84,-0.1,0.33,0.51,0.2,0.05,-0.17,-0.26,0.11,0.37,-0.18,-0.32,0.08,-0.09,-0.29,0.15,-0.2,0.24,-0.08,0.17,0.03,-0.24,0.13,0.19,-0.16,-0.2,-0.12,-0.03,0.01,0.73,-0.12,0.04,0.23,-0.25,0.07,-0.12,-0.24,-0.03,-0.13,0.27,0.29,0.16,0.31,0.32,0.37,0.37
det,-0.03,0.55,-0.03,-0.14,0.07,0.48,-0.46,-0.06,1.0,-0.59,0.24,-0.36,-0.46,-0.39,0.2,0.01,-0.01,0.02,-0.25,-0.23,0.69,0.19,-0.29,-0.3,0.28,0.35,-0.26,-0.15,-0.07,0.04,0.4,-0.29,-0.2,-0.05,0.31,0.07,0.04,0.34,0.33,-0.31,-0.14,0.12,0.56,0.26,-0.11,-0.06,-0.19,0.67,0.36,0.29,-0.51,-0.25,0.15,-0.18,-0.05,-0.28,-0.01,-0.08,0.37,0.05,-0.38,0.18,-0.02,-0.0,0.04,-0.01,0.03,-0.25,-0.3,-0.59,-0.03,-0.13,0.15,0.35,0.22,0.47,0.12,0.12
num,0.28,-0.54,-0.02,-0.38,-0.12,-0.62,0.19,-0.1,-0.59,1.0,-0.48,0.34,0.28,0.65,-0.21,0.16,0.08,-0.33,0.06,0.25,-0.48,-0.39,0.14,0.36,-0.15,-0.18,-0.33,0.15,0.04,-0.06,-0.18,0.43,-0.27,0.12,-0.23,-0.12,0.0,-0.23,-0.32,0.3,0.49,-0.37,-0.17,0.13,0.14,-0.06,0.18,-0.67,-0.33,0.14,0.4,0.29,-0.37,-0.38,-0.26,0.11,-0.33,0.3,-0.56,0.44,-0.19,-0.58,-0.47,0.1,-0.46,0.11,0.21,0.42,0.2,0.83,-0.29,-0.24,-0.44,-0.49,-0.04,-0.57,-0.36,-0.36
