,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
noun,1.0,0.87,-0.82,-0.6,0.09,0.18,-0.67,-0.81,-0.94,0.93,0.5,0.13,-0.46,-0.54,-0.4,0.63,0.15,-0.45,-0.76,-1.0,-0.8,0.09,0.09,-0.4,-0.27,0.32,0.09,0.09,-0.96,-0.6,-0.87,0.28,0.09,-0.03,0.61,0.09,0.82,-0.51,-0.89,0.13,-0.02,0.09,0.13,-0.64,0.79,0.72,-0.15,-0.42,-0.07,-0.79,0.54,0.13,-0.84,0.09,0.8,-0.72,0.4,-0.82,-0.76,0.28,0.03,0.09,0.13,0.71,0.18,-0.65,0.11,0.8,0.18,1.0,-0.46,-0.4,0.09,-0.78,0.45,0.18,0.09,0.09
adj,0.87,1.0,-0.81,-0.13,0.42,-0.33,-0.46,-0.5,-0.87,0.89,0.21,0.55,-0.43,-0.83,-0.46,0.78,0.25,-0.57,-0.74,-0.84,-0.79,0.42,0.42,-0.01,-0.03,0.68,0.42,0.42,-0.97,-0.36,-0.96,0.63,0.42,-0.26,0.89,0.42,0.99,-0.23,-0.89,0.55,0.31,0.42,0.55,-0.82,0.39,0.83,-0.36,0.08,0.38,-0.67,0.17,0.57,-0.56,0.42,0.47,-0.63,0.07,-0.94,-0.9,0.68,-0.03,0.42,0.55,0.88,-0.33,-0.86,0.55,0.45,-0.29,0.86,-0.79,-0.49,0.42,-0.74,-0.05,-0.33,0.42,0.42
propn,-0.82,-0.81,1.0,0.3,-0.59,0.07,0.13,0.35,0.62,-0.97,-0.71,-0.51,-0.08,0.82,0.85,-0.28,-0.68,0.88,0.32,0.77,0.39,-0.59,-0.59,-0.14,-0.33,-0.69,-0.59,-0.59,0.85,0.03,0.66,-0.09,-0.59,-0.35,-0.81,-0.59,-0.73,-0.06,0.58,-0.51,0.28,-0.59,-0.51,0.93,-0.49,-0.38,0.69,0.13,-0.36,0.32,-0.63,-0.49,0.84,-0.59,-0.78,0.23,0.16,0.94,0.49,-0.62,-0.53,-0.59,-0.51,-0.45,0.07,0.91,-0.48,-0.36,0.25,-0.84,0.74,-0.07,-0.59,0.34,-0.16,0.07,-0.6,-0.6
adv,-0.6,-0.13,0.3,1.0,0.54,-0.89,0.64,0.83,0.48,-0.42,-0.62,0.66,0.28,-0.28,0.02,-0.04,0.14,-0.06,0.37,0.65,0.36,0.54,0.54,0.81,0.54,0.48,0.54,0.54,0.34,0.65,0.2,0.43,0.54,-0.32,0.23,0.54,-0.05,0.7,0.37,0.66,0.51,0.54,0.66,-0.07,-0.96,-0.14,-0.31,0.98,0.78,0.54,-0.78,0.67,0.76,0.54,-0.81,0.45,-0.74,0.1,0.09,0.55,-0.05,0.54,0.66,-0.03,-0.89,-0.11,0.68,-0.88,-0.84,-0.61,-0.39,0.06,0.54,0.39,-0.99,-0.89,0.53,0.53
intj,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
cconj,0.18,-0.33,0.07,-0.89,-0.69,1.0,-0.39,-0.56,-0.06,0.0,0.51,-0.87,-0.05,0.63,0.17,-0.33,-0.23,0.29,-0.01,-0.24,0.03,-0.69,-0.69,-0.75,-0.48,-0.75,-0.69,-0.69,0.11,-0.44,0.25,-0.7,-0.69,0.44,-0.62,-0.69,-0.4,-0.55,0.06,-0.87,-0.64,-0.69,-0.87,0.43,0.74,-0.25,0.44,-0.97,-0.9,-0.19,0.68,-0.89,-0.48,-0.69,0.57,-0.13,0.66,0.32,0.33,-0.82,0.08,-0.69,-0.87,-0.38,1.0,0.48,-0.89,0.63,0.92,0.2,0.72,0.19,-0.69,-0.02,0.96,1.0,-0.68,-0.68
sconj,-0.67,-0.46,0.13,0.64,0.62,-0.39,1.0,0.94,0.83,-0.36,0.07,0.44,0.91,-0.12,-0.41,-0.74,0.63,-0.36,0.91,0.73,0.89,0.62,0.62,0.87,0.89,0.34,0.62,0.62,0.57,0.99,0.66,-0.38,0.62,0.51,-0.02,0.62,-0.49,0.97,0.81,0.44,-0.34,0.62,0.44,-0.1,-0.73,-0.77,-0.62,0.55,0.58,0.96,-0.11,0.41,0.36,0.62,-0.36,0.96,-0.91,0.2,0.69,0.3,0.65,0.62,0.44,-0.66,-0.39,-0.05,0.43,-0.91,-0.63,-0.64,-0.16,0.8,0.62,0.92,-0.57,-0.39,0.62,0.62
adp,-0.81,-0.5,0.35,0.83,0.52,-0.56,0.94,1.0,0.85,-0.55,-0.27,0.45,0.73,-0.04,-0.14,-0.59,0.38,-0.13,0.82,0.86,0.81,0.52,0.52,0.86,0.76,0.28,0.52,0.52,0.66,0.93,0.64,-0.15,0.52,0.21,-0.07,0.52,-0.49,0.91,0.79,0.45,-0.03,0.52,0.45,0.06,-0.91,-0.66,-0.43,0.73,0.61,0.92,-0.43,0.43,0.64,0.52,-0.65,0.87,-0.86,0.33,0.6,0.29,0.36,0.52,0.45,-0.56,-0.56,0.08,0.45,-1.0,-0.68,-0.79,-0.12,0.58,0.52,0.84,-0.75,-0.56,0.51,0.51
det,-0.94,-0.87,0.62,0.48,0.07,-0.06,0.83,0.85,1.0,-0.78,-0.17,-0.08,0.73,0.45,0.11,-0.85,0.15,0.2,0.94,0.95,0.96,0.07,0.07,0.5,0.49,-0.23,0.07,0.07,0.93,0.76,0.95,-0.54,0.07,0.37,-0.56,0.07,-0.87,0.67,0.99,-0.08,-0.3,0.07,-0.08,0.48,-0.69,-0.91,-0.09,0.31,0.11,0.94,-0.24,-0.11,0.61,0.07,-0.56,0.9,-0.54,0.72,0.91,-0.24,0.31,0.07,-0.08,-0.88,-0.06,0.52,-0.09,-0.81,-0.2,-0.92,0.4,0.7,0.07,0.95,-0.34,-0.06,0.07,0.07
num,0.93,0.89,-0.97,-0.42,0.43,0.0,-0.36,-0.55,-0.78,1.0,0.64,0.4,-0.15,-0.75,-0.7,0.46,0.49,-0.74,-0.53,-0.9,-0.59,0.43,0.43,-0.06,0.1,0.59,0.43,0.43,-0.94,-0.27,-0.79,0.2,0.43,0.18,0.78,0.43,0.81,-0.17,-0.74,0.4,-0.16,0.43,0.4,-0.86,0.62,0.55,-0.5,-0.23,0.22,-0.54,0.6,0.39,-0.87,0.43,0.81,-0.45,0.05,-0.95,-0.64,0.53,0.34,0.43,0.4,0.6,0.0,-0.85,0.37,0.54,-0.11,0.94,-0.67,-0.14,0.43,-0.54,0.26,0.0,0.43,0.43
