,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
noun,1.0,0.35,-0.13,-0.41,-0.06,-0.12,-0.26,-0.14,-0.01,0.24,-0.15,0.16,-0.04,-0.66,-0.0,0.25,0.76,0.01,0.26,-0.83,-0.57,0.12,-0.43,-0.24,-0.32,-0.17,0.41,0.06,-0.24,-0.04,-0.34,-0.16,-0.16,0.1,-0.07,0.06,-0.19,0.15,-0.06,-0.09,-0.04,-0.04,-0.15,-0.12,0.38,0.37,-0.04,0.08,0.1,0.43,0.28,-0.12,-0.07,0.25,0.07,-0.02,0.11,-0.08,-0.4,-0.1,0.02,-0.3,0.02,0.32,-0.14,-0.3,0.37,0.48,0.11,0.32,0.52,0.02,-0.08,-0.39,-0.06,-0.11
adj,0.35,1.0,-0.13,-0.13,0.48,0.18,-0.14,-0.06,-0.12,0.2,-0.07,0.37,0.39,-0.47,0.25,0.42,0.05,-0.2,0.41,-0.46,-0.68,-0.14,-0.2,-0.13,-0.42,-0.4,0.12,0.06,-0.22,-0.15,0.02,-0.21,0.27,0.67,-0.19,0.11,-0.25,0.09,-0.29,-0.08,-0.02,0.39,0.07,0.13,0.11,0.13,-0.18,-0.17,0.28,-0.09,-0.13,0.35,0.02,0.27,0.22,0.23,0.41,-0.21,0.06,-0.08,0.35,0.26,0.42,-0.09,0.11,-0.03,-0.06,0.18,0.12,0.29,0.76,-0.01,0.28,0.1,0.09,0.18
propn,-0.13,-0.13,1.0,-0.08,0.16,-0.28,-0.27,-0.12,0.33,0.02,0.05,0.42,0.56,0.02,-0.07,0.41,0.38,-0.22,0.5,0.04,0.45,0.32,0.03,-0.16,0.06,0.44,0.11,0.09,-0.17,0.15,0.47,-0.24,0.07,-0.08,-0.15,0.82,0.12,0.21,0.19,-0.01,0.18,0.56,0.12,0.23,0.17,-0.25,-0.16,0.28,0.19,0.02,0.18,0.26,0.51,0.39,0.44,0.49,0.31,0.19,-0.14,0.7,0.07,0.63,0.19,0.19,-0.33,-0.06,0.05,0.14,0.67,0.04,-0.06,-0.04,0.52,-0.07,-0.0,-0.28
adv,-0.41,-0.13,-0.08,1.0,0.19,0.21,0.06,0.22,-0.59,-0.37,-0.15,0.01,0.17,0.18,0.22,0.2,-0.39,-0.36,0.25,0.29,0.24,-0.51,-0.01,0.39,0.11,-0.11,-0.29,-0.15,0.08,0.14,0.07,0.1,0.03,0.01,0.03,-0.06,0.08,-0.17,-0.04,0.04,-0.43,0.17,-0.1,-0.17,-0.26,-0.15,0.05,-0.17,0.23,-0.56,-0.01,-0.1,0.01,-0.05,0.07,0.26,-0.08,-0.02,0.05,0.02,-0.14,0.21,0.2,-0.24,0.16,-0.19,-0.23,-0.11,0.08,-0.36,0.04,0.01,0.14,0.05,-0.05,0.2
intj,-0.06,0.48,0.16,0.19,1.0,-0.02,0.02,0.13,-0.21,-0.28,-0.14,0.34,0.44,0.01,0.02,0.33,0.02,-0.13,0.33,0.06,-0.24,-0.09,0.06,0.19,-0.08,0.05,-0.11,0.08,-0.09,-0.05,0.24,-0.32,0.32,0.61,0.11,0.41,-0.01,0.01,-0.2,0.09,-0.2,0.44,-0.15,0.04,0.14,-0.12,0.08,-0.16,0.34,-0.04,-0.11,0.35,-0.13,0.25,0.17,0.34,0.4,0.09,-0.12,0.14,0.45,0.37,0.24,0.19,-0.11,0.04,0.1,0.11,0.32,-0.22,0.35,0.18,0.3,-0.06,-0.18,-0.02
cconj,-0.12,0.18,-0.28,0.21,-0.02,1.0,-0.25,-0.25,0.04,-0.12,-0.04,-0.15,-0.2,-0.14,0.24,-0.01,-0.2,-0.03,0.05,0.0,-0.13,-0.13,-0.13,0.11,-0.34,-0.26,0.04,-0.05,-0.0,-0.05,-0.36,0.19,-0.2,-0.12,-0.06,-0.18,-0.06,-0.07,-0.07,-0.21,-0.34,-0.2,-0.14,0.0,-0.36,0.09,-0.07,-0.14,0.31,-0.07,-0.09,-0.31,0.02,-0.14,-0.25,-0.47,-0.06,-0.53,0.4,-0.37,-0.04,-0.09,0.12,-0.19,0.96,-0.04,-0.44,-0.36,-0.21,0.11,-0.11,-0.59,-0.19,0.33,0.63,1.0
sconj,-0.26,-0.14,-0.27,0.06,0.02,-0.25,1.0,0.34,0.02,-0.36,-0.31,-0.4,-0.19,0.45,0.02,-0.17,-0.27,0.49,-0.23,0.3,0.11,0.07,0.34,0.38,0.32,-0.24,-0.17,-0.38,0.33,-0.02,-0.1,-0.28,0.3,0.26,0.16,-0.26,0.24,-0.41,-0.32,-0.07,0.04,-0.19,0.37,0.32,-0.08,-0.27,0.13,0.02,-0.51,-0.41,-0.46,0.18,-0.46,-0.31,-0.13,-0.08,-0.07,0.52,-0.03,0.09,-0.11,-0.07,-0.22,-0.26,-0.08,0.08,-0.26,0.16,-0.2,-0.54,-0.19,0.63,-0.17,-0.02,-0.28,-0.25
adp,-0.14,-0.06,-0.12,0.22,0.13,-0.25,0.34,1.0,0.05,-0.22,-0.53,0.22,0.35,0.48,-0.01,0.09,-0.27,0.2,0.11,0.39,0.04,-0.11,0.55,-0.17,0.56,0.18,-0.36,0.09,-0.09,0.3,0.14,0.09,-0.03,0.3,0.31,-0.18,-0.18,0.15,0.25,-0.2,0.12,0.35,-0.28,0.12,0.32,-0.14,0.3,-0.18,-0.11,-0.24,-0.1,0.22,-0.12,0.21,-0.03,0.43,0.3,0.56,-0.33,0.06,-0.3,0.19,-0.02,0.02,-0.26,0.25,0.24,0.36,-0.16,-0.22,0.16,0.41,0.31,-0.36,-0.16,-0.24
det,-0.01,-0.12,0.33,-0.59,-0.21,0.04,0.02,0.05,1.0,-0.07,-0.08,0.08,0.06,0.28,-0.17,-0.06,0.12,0.3,-0.08,0.16,0.05,0.83,0.54,-0.37,0.11,0.13,0.11,0.24,-0.31,-0.07,-0.11,0.03,-0.31,-0.17,-0.01,0.12,-0.38,0.42,0.18,-0.26,0.1,0.06,-0.06,0.27,0.29,0.07,-0.03,0.41,-0.14,0.11,0.08,0.01,0.12,0.13,0.08,-0.1,0.15,0.11,0.09,0.04,0.01,0.01,-0.04,0.17,0.1,0.18,0.08,0.15,0.07,0.09,-0.25,-0.19,0.09,-0.05,0.11,0.04
num,0.24,0.2,0.02,-0.37,-0.28,-0.12,-0.36,-0.22,-0.07,1.0,0.21,0.12,0.02,-0.54,0.36,0.1,0.17,-0.2,0.08,-0.43,-0.34,-0.14,-0.35,-0.29,-0.24,0.08,-0.08,0.04,0.26,-0.07,0.14,0.13,0.03,-0.15,0.02,-0.15,-0.03,0.05,-0.09,0.32,0.72,0.02,0.18,0.1,-0.19,0.05,-0.03,0.01,-0.05,0.26,-0.02,0.15,0.04,0.0,-0.05,-0.04,0.09,-0.28,0.01,-0.01,-0.26,-0.19,0.13,-0.24,-0.15,0.16,-0.06,-0.14,0.13,0.84,0.22,-0.17,-0.04,0.13,0.22,-0.11
