file_id,abs,afek,aeg,arg,form,imp,info,inst,inter,keer,spont,subj,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,first_pron,second_pron,third_pron,active_voice,passive_voice,first_prs_verb,second_prs_verb,third_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl_relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
arhiiv_koolielu_ee.ela_481254,1.35,0.85,0.65,1.55,0.7,1.8,1.1,0.9,0.45,0.5,0.45,1.3,0.2814,0.0898,0.006,0.1078,0.006,0.0539,0.0299,0.024,0.0299,0.006,0.1677,0.006,0.006,0.0599,0.012,0.7006,5.0898,16.7,0.497,0.2128,0.006,0.018,0.012,0.012,0.012,0.1497,0.024,0.012,0.012,0.0659,0.0958,1.2667,0.0479,0.006,0.024,0.0359,0.1377,0.018,0.1078,0.018,0.006,0.006,0.0479,0.1856,0.0599,0.0659,0.018,0.0599,0.024,0.006,0.0359,0.012,0.006,0.006,0.006,0.012,0.024,0.0539,0.0419,0.0599,0.006,0.006,0.006,0.0419,0.0659,0.024,0.0958,0.0539,0.006,0.006,0.0479,0.0359,0.006,0.0419,0.1018,0.0539
arvamus_postimees_ee.ela_5946,0.65,1.15,0.7,0.65,0.45,0.65,1.15,0.75,0.7,0.65,0.15,1.25,0.2416,0.1107,0.0201,0.1174,0.0034,0.0336,0.0403,0.0134,0.0336,0.0235,0.151,0.0034,0.0034,0.0604,0.0034,0.698,5.3456,16.56,0.4228,0.25,0.0201,0.0168,0.0168,0.0034,0.0034,0.1544,0.0336,0.0201,0.0067,0.094,0.1007,1.52,0.0235,0.0134,0.0101,0.0503,0.0973,0.0839,0.1174,0.0134,0.0067,0.0034,0.0067,0.1577,0.1007,0.0805,0.0101,0.0403,0.0201,0.0134,0.0134,0.0101,0.0235,0.0034,0.0067,0.0034,0.0201,0.0503,0.0336,0.0369,0.0302,0.0101,0.0034,0.0671,0.047,0.0168,0.0805,0.0537,0.0034,0.0235,0.0705,0.0268,0.0034,0.0369,0.0369,0.0336
arvamusaed_ee.ela_274676,1.25,1.65,0.15,1.5,0.15,0.55,0.35,0.6,0.85,0.4,0.7,2,0.1991,0.0606,0.026,0.1342,0.0043,0.0433,0.0866,0.013,0.0216,0.0087,0.1385,0.0043,0.0043,0.1126,0.0043,0.6537,4.9567,23.1,0.3939,0.5652,0.026,0.0087,0.0216,0.0043,0.026,0.1515,0.0173,0.0173,0.0043,0.0736,0.1082,1.7059,0.039,0.0087,0.0216,0.0216,0.1255,0.026,0.0996,0.0346,0.0043,0.0043,0.026,0.1472,0.0736,0.0952,0.0346,0.0087,0.0216,0.026,0.013,0.0087,0.013,0.0043,0.0087,0.0043,0.013,0.0779,0.0216,0.0433,0.0043,0.0043,0.0043,0.0779,0.0606,0.026,0.0823,0.039,0.0087,0.0087,0.039,0.0433,0.0043,0.0173,0.0433,0.0433
arvamusaed_ee.ela_6007,0.6,1.2,0.8,1.85,0.45,1.15,0.65,0.3,0.45,0.05,0.2,2.2,0.3007,0.1189,0.007,0.1119,0.007,0.035,0.042,0.049,0.014,0.028,0.1259,0.007,0.007,0.0629,0.007,0.7972,6.4965,23.83,0.6643,0.2093,0.007,0.007,0.035,0.007,0.007,0.1608,0.021,0.028,0.007,0.049,0.0839,0.9286,0.028,0.007,0.014,0.0769,0.0699,0.1049,0.0979,0.007,0.007,0.007,0.035,0.0699,0.1608,0.0909,0.028,0.042,0.007,0.035,0.0559,0.007,0.028,0.007,0.021,0.007,0.028,0.035,0.007,0.042,0.007,0.021,0.014,0.0699,0.042,0.021,0.1469,0.1119,0.007,0.028,0.0909,0.042,0.007,0.021,0.042,0.035
bhr_balanss_ee.ela_565106,1.15,0.8,0.4,1.4,0.7,0.75,0.85,0.25,0.2,0.55,0.55,0.95,0.25,0.0978,0.0707,0.1196,0.0054,0.038,0.0435,0.0163,0.0272,0.0054,0.1413,0.0054,0.0054,0.0761,0.0054,0.712,5.8967,23,0.587,0.3043,0.0272,0.0054,0.0109,0.0054,0.0054,0.163,0.0163,0.0163,0.0054,0.1141,0.0543,2.5,0.0217,0.0109,0.0109,0.0326,0.0761,0.0978,0.1304,0.0163,0.0054,0.0054,0.0163,0.1739,0.1522,0.0217,0.0163,0.0326,0.0163,0.0272,0.0217,0.0054,0.0272,0.0054,0.0163,0.0054,0.0217,0.087,0.0272,0.0272,0.0163,0.0109,0.0054,0.0543,0.0543,0.0217,0.1141,0.087,0.0109,0.0054,0.0652,0.0217,0.0054,0.0272,0.0543,0.038
blablabla_ee.ela_504829,0.25,2.1,0.95,0.5,0.5,0.3,0.5,0.2,1.3,0.55,0.95,1.65,0.2294,0.0476,0.0866,0.1169,0.0087,0.0606,0.0649,0.0087,0.0433,0.0043,0.1602,0.0043,0.0043,0.0476,0.0043,0.658,5.0433,21,0.4416,0.2075,0.0043,0.0216,0.0087,0.0087,0.0087,0.1429,0.0346,0.0433,0.013,0.0693,0.0736,2.3077,0.0216,0.0043,0.0173,0.0303,0.0476,0.1169,0.1299,0.0043,0.0087,0.0043,0.0043,0.1602,0.1385,0.0693,0.0173,0.026,0.0173,0.0087,0.0173,0.0043,0.0173,0.0043,0.0043,0.0043,0.013,0.0476,0.0216,0.0173,0.0043,0.0043,0.0043,0.0779,0.0823,0.026,0.0693,0.0866,0.0173,0.0043,0.026,0.0346,0.0043,0.0173,0.0823,0.0606
blog_maaleht_ee.ela_73268,0.5,1.15,1.5,0.45,0.05,0.35,1.3,0.3,0.55,0.4,0.75,1.25,0.3258,0.0682,0.0076,0.1174,0.0038,0.0303,0.0417,0.0303,0.0341,0.0114,0.1591,0.0038,0.0038,0.0455,0.0114,0.7727,5.5265,12,0.6136,0.1395,0,0.0076,0.0152,0.0038,0.0114,0.1439,0.0076,0.0417,0.0038,0.0682,0.0606,2.9091,0.0189,0.0076,0.0114,0.0189,0.053,0.0909,0.1136,0.0152,0.0038,0.0038,0.0189,0.1136,0.1364,0.0985,0.0114,0.0341,0.0152,0.0189,0.0303,0.0038,0.0189,0.0114,0.0038,0.0038,0.0152,0.0644,0.0189,0.0303,0.0076,0.0076,0.0038,0.0568,0.0417,0.0152,0.1061,0.0985,0.0038,0.0152,0.0492,0.0379,0.0038,0.0152,0.0492,0.0303
ekspress_online_2020,0.05,0.65,0.9,0.15,0.2,0.55,0.5,0.15,0.45,0.05,0.25,0.6,0.2772,0.1287,0.0792,0.099,0.0099,0.0297,0.0297,0.0396,0.0495,0.0198,0.1287,0.0099,0.0099,0.0891,0.0297,0.7921,5.6238,33.67,0.7228,0.3214,0.0099,0.0297,0.0099,0.0099,0.0396,0.1683,0.0396,0.0099,0.0099,0.0693,0.0792,0.7273,0.0099,0.0099,0.0099,0.1188,0.0891,0.1188,0.0792,0.0198,0.0099,0.0099,0.0099,0.1089,0.2376,0.0693,0.0198,0.0396,0.0198,0.0297,0.0594,0.0099,0.0297,0.0099,0.0099,0.0099,0.0198,0.0792,0.0099,0.0693,0.0396,0.0198,0.0099,0.0693,0.0297,0.0297,0.1287,0.1584,0.0099,0.0198,0.0792,0.0099,0.0099,0.0099,0.0495,0.0297
eok_ee.ela_435890,0.7,0.5,1.9,0.25,1.15,0.8,2.2,0.4,0.3,0.95,0.15,0.65,0.2679,0.0982,0.1786,0.0446,0.0089,0.0268,0.0089,0.0536,0.0268,0.0893,0.1429,0.0089,0.0089,0.0446,0.0179,0.7946,5.9643,18.67,0.6786,0.1667,0,0.0179,0.0089,0.0089,0.0268,0.0982,0.0179,0.0089,0.0089,0.0625,0.0625,1.1667,0.0089,0.0268,0.0179,0.0357,0.0179,0.0893,0.0714,0.0089,0.0089,0.0089,0.0179,0.2857,0.1786,0.0446,0.0179,0.0179,0.0446,0.0179,0.0536,0.0268,0.0179,0.0089,0.0179,0.0089,0.0179,0.0446,0.0357,0.0357,0.0179,0.0089,0.0179,0.0357,0.0268,0.0179,0.1696,0.1161,0.0446,0.0625,0.0625,0.0268,0.0089,0.0357,0.0357,0.0268
et_wikipedia_org.ela_191506,0.55,0.05,2.8,0.5,1.65,1.05,2.45,0.6,0.1,1.2,0.05,0.1,0.26,0.0733,0.2267,0.0467,0.0067,0.0333,0.0067,0.04,0.0267,0.0467,0.12,0.0067,0.0067,0.06,0.0467,0.6867,6.12,18.75,0.4267,0.2308,0,0.0267,0.0067,0.0067,0.04,0.0733,0.0533,0.0067,0.0067,0.0667,0.06,4,0.0267,0.0067,0.0133,0.0067,0.0067,0.1133,0.1133,0.0067,0.0067,0.0067,0.0067,0.1933,0.1667,0.0133,0.0133,0.0067,0.0133,0.0533,0.1267,0.0067,0.0467,0.02,0.0133,0.0067,0.0267,0.0533,0.0133,0.0067,0.02,0.0067,0.0067,0.0533,0.0333,0.0467,0.1867,0.1733,0.02,0.0467,0.0667,0.0067,0.0067,0.0133,0.0533,0.0333
