tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
www_ekspress_ee.ela_177019.txt,abstraktsus,2,3,2,3,3,1,3,3,3,3,www_aialeht_ee.ela_457123.txt www_vorumaateataja_ee.ela_494965.txt
,infotihedus,3,,,,,,,,,,www_aialeht_ee.ela_457123.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,1,3,1,2,2,1,2,,,,www_tootukassa_ee.ela_395777.txt www_vorumaateataja_ee.ela_494965.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,2,2,2,3,3,3,3,3,3,www_tootukassa_ee.ela_395777.txt www_vorumaateataja_ee.ela_494965.txt
,instrueerivus,,,,,,,,,,,
,keerukus,2,2,2,3,3,2,,,,,www_bioneer_ee.ela_243230.txt www_aialeht_ee.ela_457123.txt
,subjektiivsus,2,2,2,3,3,2,3,2,3,3,www_bioneer_ee.ela_243230.txt www_aialeht_ee.ela_457123.txt
,spontaansus,3,1,2,3,2,3,3,3,3,2,www_bioneer_ee.ela_243230.txt www_tootukassa_ee.ela_395777.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,3,2,2,3,3,2,3,,,,www_bioneer_ee.ela_243230.txt www_tootukassa_ee.ela_395777.txt
www_vorumaateataja_ee.ela_494965.txt,abstraktsus,1,,,,,,,,,,www_tarbijakaitse_ee.ela_199918.txt
,infotihedus,2,2,2,2,2,1,1,,,,www_ekspress_ee.ela_177019.txt www_tarbijakaitse_ee.ela_199918.txt
,aja olulisus,2,2,2,,,,,,,,www_ekspress_ee.ela_177019.txt www_tarbijakaitse_ee.ela_199918.txt
,afektiivsus,2,3,2,1,1,2,2,,,,www_ekspress_ee.ela_177019.txt www_horisont_ee.ela_455809.txt
,formaalsus,2,2,1,,,,,,,,www_ekspress_ee.ela_177019.txt
,interaktiivsus,1,2,,,,,,,,,www_horisont_ee.ela_455809.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,,,,,,,,,,www_nami-nami_ee.ela_456341.txt
,subjektiivsus,3,3,1,2,2,1,3,2,,,www_nami-nami_ee.ela_456341.txt www_tarbijakaitse_ee.ela_199918.txt
,spontaansus,2,1,2,,,,,,,,www_nami-nami_ee.ela_456341.txt www_horisont_ee.ela_455809.txt
,impersonaalsus,2,1,1,2,,,,,,,www_nami-nami_ee.ela_456341.txt
,argumentatiivsus,2,2,2,2,1,2,1,2,,,www_nami-nami_ee.ela_456341.txt www_horisont_ee.ela_455809.txt
arhiiv_koolielu_ee.ela_481254.txt,abstraktsus,2,1,2,2,1,1,2,2,,,et_wikipedia_org.ela_191506.txt www_hambaarst_ee.ela_475731.txt
,infotihedus,2,3,,,,,,,,,www_hambaarst_ee.ela_475731.txt
,aja olulisus,1,,,,,,,,,,www_hambaarst_ee.ela_475731.txt
,afektiivsus,1,1,2,,,,,,,,et_wikipedia_org.ela_191506.txt
,formaalsus,1,2,1,1,,,,,,,et_wikipedia_org.ela_191506.txt ylle_mrt_ee.ela_101705.txt
,interaktiivsus,1,1,1,1,,,,,,,et_wikipedia_org.ela_191506.txt ylle_mrt_ee.ela_101705.txt
,instrueerivus,1,1,1,2,,,,,,,www_hambaarst_ee.ela_475731.txt
,keerukus,2,,,,,,,,,,www_vm_ee.ela_81604.txt
,subjektiivsus,1,1,2,1,1,2,2,2,1,,www_vm_ee.ela_81604.txt www_hambaarst_ee.ela_475731.txt
,spontaansus,1,,,,,,,,,,www_vm_ee.ela_81604.txt
,impersonaalsus,3,3,2,2,3,2,,,,,www_vm_ee.ela_81604.txt ylle_mrt_ee.ela_101705.txt
,argumentatiivsus,2,2,2,2,2,2,2,,,,www_vm_ee.ela_81604.txt ylle_mrt_ee.ela_101705.txt
et_wikipedia_org.ela_191506.txt,abstraktsus,2,2,,,,,,,,,www_vm_ee.ela_81604.txt
,infotihedus,3,3,3,3,3,2,2,3,2,,www_vm_ee.ela_81604.txt arhiiv_koolielu_ee.ela_481254.txt
,aja olulisus,3,3,3,3,3,3,2,2,3,3,www_vm_ee.ela_81604.txt arhiiv_koolielu_ee.ela_481254.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,3,2,2,2,1,2,,,www_soudeliit_ee.ela_547578.txt arhiiv_koolielu_ee.ela_481254.txt
,interaktiivsus,1,,,,,,,,,,www_soudeliit_ee.ela_547578.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,3,1,2,1,1,1,2,,,www_vm_ee.ela_81604.txt www_politsei_ee.ela_163441.txt
,subjektiivsus,1,,,,,,,,,,www_politsei_ee.ela_163441.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,2,2,,,,,,,,www_soudeliit_ee.ela_547578.txt www_politsei_ee.ela_163441.txt
,argumentatiivsus,2,1,1,1,,,,,,,www_soudeliit_ee.ela_547578.txt www_politsei_ee.ela_163441.txt
et_wikipedia_org.ela_219301.txt,abstraktsus,3,2,2,2,3,1,3,2,2,1,www_politsei_ee.ela_163441.txt www_politsei_ee.ela_40109.txt
,infotihedus,1,,,,,,,,,,www_politsei_ee.ela_40109.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,,,,,,,,,,,
,formaalsus,,,,,,,,,,,
,interaktiivsus,,,,,,,,,,,
,instrueerivus,2,2,,,,,,,,,www_vnl_ee.ela_670256.txt
,keerukus,1,1,1,1,,,,,,,www_politsei_ee.ela_40109.txt www_vnl_ee.ela_670256.txt
,subjektiivsus,1,,,,,,,,,,www_politsei_ee.ela_40109.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,3,3,2,2,3,2,,,,www_vnl_ee.ela_670256.txt www_epl_ee.ela_679018.txt
,argumentatiivsus,1,2,3,1,,,,,,,www_vnl_ee.ela_670256.txt www_epl_ee.ela_679018.txt
www_politsei_ee.ela_163441.txt,abstraktsus,,,,,,,,,,,
,infotihedus,3,3,3,3,3,2,2,1,3,2,et_wikipedia_org.ela_219301.txt arvamusaed_ee.ela_6007.txt
,aja olulisus,3,2,3,2,3,2,3,1,,,et_wikipedia_org.ela_219301.txt arvamusaed_ee.ela_6007.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,3,3,3,1,3,2,1,1,,et_wikipedia_org.ela_219301.txt www_kv_ee.ela_199481.txt
,interaktiivsus,2,,,,,,,,,,www_kv_ee.ela_199481.txt
,instrueerivus,3,,,,,,,,,,et_wikipedia_org.ela_191506.txt
,keerukus,1,1,,,,,,,,,et_wikipedia_org.ela_191506.txt arvamusaed_ee.ela_6007.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,2,,,,,,,,,et_wikipedia_org.ela_191506.txt
,impersonaalsus,3,3,3,1,2,,,,,,et_wikipedia_org.ela_191506.txt www_kv_ee.ela_199481.txt
,argumentatiivsus,2,1,,,,,,,,,www_kv_ee.ela_199481.txt
reisiajakiri_gomaailm_ee.ela_530539.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,1,1,2,3,2,,,,,www_vsport_ee.ela_120496.txt toompark_pri_ee.ela_458650.txt
